name,description,ca,country,keys,broad
deprexis,mental health: depression,,,deprexis,GAIA
velibra,mental health: anxiety and panic disorder,,,velibra,GAIA
vorvida,mental health: harmful alcohol use,,,vorvida,GAIA
Priovi,mental health: schizophrenia,,,Priovi,GAIA
Somnovia,mental health: insomnia,,,Somnovia,GAIA
MindDoc,mental health: depression and mood disorders,,,MindDoc|Mind Doc,MindDoc
Selfapy Online-Kurs bei Depression,mental health: depression,,,Selfapy Online-Kurs bei Depression|Selfapy Depression,Selfapy
Selfapy Online-Kurs bei Angststoerungen,mental health: anxiety disorder,,,Selfapy Online-Kurs bei Angststörungen|Selfapy Angst,Selfapy
HelloBetter Stress und Burnout,mental health: stress and burnout,,,HelloBetter Stress und Burnout|HelloBetter Stress,HelloBetter
HelloBetter Panik,mental health: panic disorder,,,HelloBetter Panik,HelloBetter
HelloBetter Diabetes und Depression,mental health: depression with diabetes,,,HelloBetter Diabetes und Depression,HelloBetter
HelloBetter Vaginismus Plus,mental health: vaginismus,,,HelloBetter Vaginismus Plus|HelloBetter Vaginismus,HelloBetter
HelloBetter chronischer Schmerz,mental health: chronic pain,,,HelloBetter ratiopharm chronischer Schmerz|HelloBetter chronischer Schmerz,HelloBetter
Mindable: Panikstoerung und Agoraphobie,mental health: panic disorder and agoraphobia,,,Mindable: Panikstörung und Agoraphobie|Mindable,Mindable
Invirto,mental health: anxiety disorder,,,Invirto|Invirto - Die Therapie gegen Angst,Invirto
edupression,mental health: depression,,,edupression|edupression.com,edupression
elona therapy Depression,mental health: depression,,,elona therapy Depression|elona therapy,elona
somnio,mental health: insomnia,,,somnio,somnio
Kalmeda,mental health: tinnitus,,,Kalmeda,Kalmeda
Meine Tinnitus App,mental health: tinnitus,,,Meine Tinnitus App|Meine Tinnitus,Tinnitus
NichtraucherHelden,mental health: tobacco dependence,,,NichtraucherHelden,Nichtraucher
optimune,psycho-oncology: breast cancer aftercare,,,optimune,GAIA
Mika,psycho-oncology: cancer,,,Mika,Mika
PINK! Coach,psycho-oncology: breast cancer,,,PINK! Coach|PINK Coach,PINK
elevida,neurology: multiple sclerosis fatigue,,,elevida,GAIA
Levidex,neurology: multiple sclerosis,,,Levidex,Levidex
Rehappy,neurology: stroke aftercare,,,Rehappy,Rehappy
neolexon Aphasie,neurology: aphasia,,,neolexon Aphasie|neolexon,neolexon
sinCephalea,neurology: migraine prophylaxis,,,sinCephalea,sinCephalea
M-sense Migraene,neurology: migraine,,,M-sense Migräne|M-sense,M-sense
zanadio,metabolic: obesity,,,zanadio,zanadio
Oviva Direkt fuer Adipositas,metabolic: obesity,,,Oviva Direkt für Adipositas|Oviva Direkt,Oviva
Vitadio,metabolic: type 2 diabetes,,,Vitadio,Vitadio
glucura,metabolic: type 2 diabetes,,,glucura,glucura
ESYSTA,metabolic: diabetes,,,ESYSTA,ESYSTA
mebix,metabolic: diabetes,,,mebix,mebix
Vivira,musculoskeletal: back and joint pain,,,Vivira,Vivira
Kaia Rueckenschmerzen,musculoskeletal: back pain,,,Kaia Rückenschmerzen|Kaia,Kaia
companion patella,musculoskeletal: patellofemoral pain,,,companion patella,companion
Mawendo,musculoskeletal: patellofemoral pain,,,Mawendo,Mawendo
Kranus Edera,urology: erectile dysfunction,,,Kranus Edera|Edera,Kranus
Kranus Lutera,urology: urinary incontinence,,,Kranus Lutera|Lutera,Kranus
Cara Care fuer Reizdarm,gastroenterology: irritable bowel syndrome,,,Cara Care für Reizdarm|Cara Care,Cara Care
Endo-App,gynaecology: endometriosis,,,Endo-App|Endo App,Endo
Vantis KHK und Herzinfarkt,cardiology: coronary heart disease,,,Vantis KHK und Herzinfarkt|Vantis KHK|Vantis,Vantis
Actensio,cardiology: hypertension,,,Actensio,Actensio
Actimi Telecare,cardiology: heart failure,,,Actimi Telecare,Actimi
